OPIS Truckstop ID,Truckstop Name,Address,City,State,Rack ID,Retail Price,Latitude,Longitude,Geocoding_Timestamp,Geocoding_Status
199,PETRO STOPPING CENTER #366,"I-70, EXIT 252",Salina,KS,523,3.80566666,38.87599,-97.61695,2025-01-27T22:17:11.416514,SUCCESS
203,PILOT TRAVEL CENTER #31,"I-80/94, EXIT 2",Highland,IN,365,3.829,41.43336,-73.91578,2025-01-27T22:17:11.993429,SUCCESS
207,MARATHON,SR-32,Sardinia                                ,OH,300,3.56566666,39.00453,-83.78279,2025-01-27T22:17:12.549206,SUCCESS
216,CIRCLE K #2721593,"I-10, EXIT 50",Ocean Springs,MS,715,3.41566666,30.45402,-88.84646,2025-01-27T22:17:13.121022,SUCCESS
217,NORTH 9TH 24/7,"I-70, EXIT 252",Salina,KS,523,3.02566666,38.87599,-97.61695,2025-01-27T22:17:13.619430,SUCCESS
231,DERBY CITYS TRUCK PLAZA,"I-75, EXIT 62 & US-25",Mount Vernon,KY,410,2.999,37.33778,-84.30613,2025-01-27T22:17:14.219429,SUCCESS
235,PILOT TRAVEL CENTERS #92,"I-75, EXIT 358",Ocala,FL,225,3.359,29.2632,-82.19163,2025-01-27T22:17:14.764944,SUCCESS
240,LA 1 SOUTH TRUCKSTOP,"I-10, EXIT 153 & SR-1",Port Allen,LA,600,3.039,30.45176,-91.21056,2025-01-27T22:17:15.357299,SUCCESS
243,SAVE,US-41 & SR-10,Lake Village,IN,399,3.179,41.14487,-87.45437,2025-01-27T22:17:15.963990,SUCCESS
244,BIG D TRUCK TRAVEL PLAZA,"I-10, EXIT 92 & SR-95",Duson,LA,725,2.98233333,30.24119,-92.17626,2025-01-27T22:17:16.546986,SUCCESS
248,Mardi Gras Truck Stop,"I-10, EXIT 236",New Orleans,LA,725,3.729,30.11265,-89.89079,2025-01-27T22:17:17.120592,SUCCESS
250,GOLDEN OX TRUCK STOP,"I-70/US-40, EXIT 159 & US-183",Hays,KS,523,3.499,38.91319,-99.35734,2025-01-27T22:17:17.710338,SUCCESS
253,LOVES TRAVEL STOP #450,"I-40, EXIT 280 & I-55, EXIT 4",West Memphis,AR,435,3.32566666,35.1391,-90.09937,2025-01-27T22:17:18.326100,SUCCESS
256,BFS FOODS #66,"I-68/US-40, EXIT 22 & US-219",Grantsville                             ,MD,165,3.899,39.69825,-79.16261,2025-01-27T22:17:18.942114,SUCCESS
257,PILOT TRAVEL CENTER #917- TOWN PUMP,I-15 & 31ST STREET EXIT 277,Great Falls                             ,MT,815,3.63566666,47.50804,-111.25361,2025-01-27T22:17:19.560096,SUCCESS
263,CASEYS #3956,I-94 EXIT 16,Bridgman,MI,465,3.559,41.92639,-86.5702,2025-01-27T22:17:20.157091,SUCCESS
267,CORNER MARKET #117,SR-154 & SR-129,Dodge City,KS,357,3.399,37.7497,-99.97907,2025-01-27T22:17:20.743089,SUCCESS
269,PILOT TRAVEL CENTERS #24,"I-75, EXIT 15",Monroe                                  ,MI,325,3.299,41.92289,-83.36092,2025-01-27T22:17:21.313495,SUCCESS
278,CARLISLE PLAZA,US-41,Carlisle,IN,510,3.499,38.97014,-87.40654,2025-01-27T22:17:21.885493,SUCCESS
281,CIRCLE K #4700065,"I-65, EXIT 76 & US-31",Taylorsville,IN,375,3.399,38.31006,-85.7522,2025-01-27T22:17:22.496494,SUCCESS
289,LOVES TRAVEL STOP #173,"I-70, MM 209",Lawrence,KS,553,3.229,39.0088,-95.15844,2025-01-27T22:17:23.046492,SUCCESS
292,PETES #56,US-169 & CR-5000,Cherryvale,KS,307,3.23233333,37.26714,-95.56837,2025-01-27T22:17:23.638666,SUCCESS
293,LOVES TRAVEL STOP #176,"I-35, MILE MARKER 97",Matfield Green,KS,336,3.25566666,38.18295,-96.4599,2025-01-27T22:17:24.238666,SUCCESS
304,FL Roberts,"I-91, EXIT 4",Springfield,MA,100,3.599,42.15679,-72.6508,2025-01-27T22:17:24.820667,SUCCESS
309,QUIKTRIP #231,"I-635, EXIT 3",Kansas City,KS,400,3.199,39.09411,-94.68074,2025-01-27T22:17:25.402666,SUCCESS
323,SAPP BROS TRAVEL CENTER,"I-80, EXIT 126",Ogallala,NE,475,3.46566666,41.12633,-101.70816,2025-01-27T22:17:25.966817,SUCCESS
326,FLYING J TRAVEL PLAZA #748,"I-15, EXIT 357",Willard                                 ,UT,835,3.749,41.41592,-112.05062,2025-01-27T22:17:26.561816,SUCCESS
341,TA JACKSONVILLE SOUTH TRAVEL CENTER,"I-95, EXIT 329",Saint Johns,FL,75,3.469,30.07521,-81.4988,2025-01-27T22:17:27.163820,SUCCESS
347,7-ELEVEN #40514,I-90/80-IN TOLL RD MM 22E,Portage,IN,365,3.99066666,41.58019,-87.17322,2025-01-27T22:17:27.791819,SUCCESS
358,TA BINGHAMTON TRAVELCENTER,"I-81N, EXIT 2W & I-81S, EXIT 3",Binghamton,NY,32,3.769,42.16896,-75.89629,2025-01-27T22:17:28.393280,SUCCESS
361,CIRCLE K #2726293,"I-295, EXIT 25",Jacksonville,FL,75,3.31566666,30.36742,-81.76085,2025-01-27T22:17:28.961275,SUCCESS
368,WILTON TRAVEL PLAZA,"I-87, EXIT 16",Gansevoort                              ,NY,12,3.749,43.16653,-73.71416,2025-01-27T22:17:29.532276,SUCCESS
372,GAS DEPOT,"I-94, EXIT 5",Hammond,IN,365,3.999,41.57131,-87.43889,2025-01-27T22:17:30.110277,SUCCESS
381,7-Eleven #41830,US-69 & US-135,Jacksonville,TX,630,2.91566666,31.96669,-95.274,2025-01-27T22:17:30.705386,SUCCESS
387,Circle K #2709664,"I-8, EXIT 12",Yuma,AZ,930,3.489,32.67038,-114.44936,2025-01-27T22:17:31.267389,SUCCESS
388,Pilot Travel Centers #14,"I-71, EXIT 131",Sunbury,OH,315,3.719,40.26938,-82.92728,2025-01-27T22:17:31.829390,SUCCESS
391,PILOT TRAVEL CENTERS #13,"I-71, EXIT 209",Seville,OH,305,3.699,43.40826,-84.82666,2025-01-27T22:17:32.403386,SUCCESS
403,TRUCKOMAT OF HEBRON,"I-70, EXIT 126 & SR-37",Hebron,OH,315,3.429,39.94246,-82.53981,2025-01-27T22:17:33.009097,SUCCESS
407,FUEL MART #641,"I-80 & I-280, EXIT 71",Perrysburg                              ,OH,550,3.499,41.52355,-83.45721,2025-01-27T22:17:33.572096,SUCCESS
421,PETRO STOPPING CENTER #316,"I-40 & I-35, EXIT 127",Oklahoma City,OK,483,3.30233333,35.33886,-97.49248,2025-01-27T22:17:34.157097,SUCCESS
424,E EXPRESS,"I-40, EXIT 166",Choctaw,OK,483,2.899,35.39044,-97.25928,2025-01-27T22:17:34.726183,SUCCESS
425,Neighbors Express,"I-16, EXIT 51",Dublin                                  ,GA,85,3.299,32.48835,-82.93956,2025-01-27T22:17:35.293753,SUCCESS
442,WESTERN COOP,US-385 & SR-2,Alliance,NE,795,3.324,42.09667,-102.89837,2025-01-27T22:17:35.876752,SUCCESS
455,MR FUEL #753,"I-95, EXIT 104 & SR-207",Ruther Glen,VA,180,3.26566666,37.93837,-77.4727,2025-01-27T22:17:36.472752,SUCCESS
456,THE COUNTRY OASIS,US-24,Woodburn                                ,IN,370,3.399,41.13814,-84.86702,2025-01-27T22:17:37.041518,SUCCESS
458,HAPPY HILLS GAS & COFFEE,I-29 EXIT 110,Rock Port,MO,400,3.399,40.4033,-95.55311,2025-01-27T22:17:37.616227,SUCCESS
460,TRUCK STOP 44,I-20 EXIT 44,Gilbert,SC,135,3.079,33.86833,-81.38697,2025-01-27T22:17:38.194227,SUCCESS
461,SPINX #271,"I-26, EXIT 145 & US-601",Orangeburg,SC,42,3.26233333,33.46034,-80.73268,2025-01-27T22:17:38.793227,SUCCESS
469,LOAF N JUG #750010,US-160 & SR-17,Alamosa,CO,803,3.259,37.47289,-105.8574,2025-01-27T22:17:39.370824,SUCCESS
